d3mIndex,Month,State,County,Rate,County - named after (any)
290,May,Iowa,Mitchell County,2.7,Elisha Mitchell
291,March,Texas,Montgomery County,3.9,Richard Montgomery
292,January,Tennessee,Marshall County,6.2,John Marshall
293,September,Massachusetts,Plymouth County,5.1,Plymouth
294,March,Minnesota,Wilkin County,4.1,Alexander Wilkin
295,January,Wyoming,Sweetwater County,4.3,Sweetwater River
296,September,Virginia,Prince William County,3.8,"Prince William, Duke of Cumberland"
297,September,Idaho,Camas County,3,Camassia
298,December,Indiana,Fountain County,6.3,James Fontaine
299,July,Ohio,Guernsey County,5.9,Guernsey
300,December,Oklahoma,Jefferson County,6.3,Thomas Jefferson
301,June,Texas,Freestone County,5.8,
302,August,Arizona,Graham County,7.7,Mount Graham
303,July,Mississippi,Yazoo County,9.4,
304,May,Virginia,James City County,4.4,James VI and I
305,September,Arkansas,Carroll County,3.6,Charles Carroll
306,July,Texas,Hunt County,5,"Memucan Hunt, Jr."
307,February,Iowa,Warren County,4.3,Joseph Warren
308,May,Oregon,Benton County,4,Thomas Hart Benton
309,June,West Virginia,Upshur County,8.9,Abel P. Upshur
310,September,Colorado,Prowers County,3.7,
311,October,Kentucky,Anderson County,3.7,Joseph Inslee Anderson
312,July,Missouri,Shannon County,8.1,George Shannon
313,August,Washington,Thurston County,5.7,Samuel Thurston
314,February,Wisconsin,Racine County,6.6,Root River
315,January,Virginia,York County,5,York
316,June,Arkansas,Hempstead County,5.2,Edward Hempstead
317,April,Virginia,Washington County,4.5,George Washington
318,January,Pennsylvania,Schuylkill County,7.3,Schuylkill River
319,November,Alabama,Lowndes County,10.8,William Lowndes
320,December,Kentucky,Powell County,7.9,Mount Powell
321,December,Texas,Matagorda County,7.2,canebrakes
322,January,North Carolina,Robeson County,9,Thomas Robeson
323,November,North Carolina,Craven County,5.8,"William Craven, 1st Earl of Craven"
324,March,Washington,Lewis County,8.8,Meriwether Lewis
325,May,Ohio,Allen County,4.8,John Allen
326,January,Illinois,Pike County,6,Zebulon Pike
327,June,North Carolina,Cleveland County,6.9,Benjamin Cleveland
328,October,South Dakota,Mellette County,4.1,Arthur C. Mellette
329,August,Utah,Emery County,6.5,George W. Emery
330,September,Virginia,New Kent County,3.6,Kent
331,November,Utah,Rich County,3.6,Charles C. Rich
332,June,Missouri,Bollinger County,5.7,George Frederick Bollinger
333,August,Alabama,Colbert County,8.2,Levi Colbert
334,November,Colorado,Conejos County,4.8,Conejos River
335,April,Texas,Coleman County,5,
336,September,Virginia,Giles County,4.6,William Branch Giles
337,March,Nevada,Eureka County,5.4,Eureka
338,December,North Carolina,Haywood County,4.7,John Haywood
339,September,Pennsylvania,Bucks County,4.1,Buckinghamshire
340,May,Kentucky,Lee County,7.6,Robert E. Lee
341,April,Indiana,Marion County,4.9,Francis Marion
342,September,Virginia,Highland County,3.3,
343,October,Alabama,Covington County,6.4,Leonard Covington
344,January,Idaho,Twin Falls County,4.6,Twin Falls
345,September,Indiana,Randolph County,3.9,Edmund Randolph
346,November,North Carolina,Cleveland County,6.1,Benjamin Cleveland
347,August,Oklahoma,Mayes County,4.2,Samuel Houston Mayes
348,November,Montana,Musselshell County,4.7,Musselshell River
349,January,Texas,Colorado County,4,Colorado River
350,January,Louisiana,Allen Parish,8.5,Henry Watkins Allen
351,February,Arizona,Graham County,7.7,Mount Graham
352,August,Missouri,Chariton County,4.8,Chariton River
353,March,Minnesota,Morrison County,7.3,
354,June,Illinois,Hamilton County,4.8,Alexander Hamilton
355,August,Mississippi,Leflore County,10.3,
356,March,Oklahoma,McIntosh County,8.6,
357,June,Virginia,Martinsville City,9.1,Joseph Martin
358,November,Ohio,Clark County,4.9,William A. Clark
359,February,Virginia,Bath County,5.6,Bath
360,April,Louisiana,Plaquemines Parish,5.5,
361,November,Iowa,Winnebago County,3.3,Ho-Chunk
362,June,New York,Otsego County,5.1,
363,October,Texas,McLennan County,4,Neil McLennan
364,April,Texas,Comal County,3.4,Comal River
365,February,Maryland,Saint Marys County,5.2,
366,March,Texas,Brazos County,3.1,Brazos River
367,May,Virginia,Mecklenburg County,6.2,Charlotte of Mecklenburg-Strelitz
368,June,West Virginia,Gilmer County,7.6,
