d3mIndex,Month,State,County,Rate,County - named after (any)
1043,August,Louisiana,Union Parish,6.9,
1044,March,New York,Jefferson County,8.4,Thomas Jefferson
1045,January,New Jersey,Hudson County,6.2,Henry Hudson
1046,February,Virginia,Giles County,5.6,William Branch Giles
1047,January,Colorado,Moffat County,6.1,David Moffat
1048,March,Washington,Franklin County,8.4,Benjamin Franklin
1049,July,Kentucky,Grant County,5.4,Ulysses S. Grant
1050,January,North Dakota,Benson County,7.2,Bertil W. Benson
1051,November,Montana,Wheatland County,5.9,wheat
1052,April,Texas,Upton County,3.4,
1053,November,North Carolina,Wilson County,9,David Wilson
1054,October,Kentucky,Harrison County,4.2,William Henry Harrison
1055,November,New York,Hamilton County,8.7,Alexander Hamilton
1056,September,Pennsylvania,Venango County,5.5,Indigenous peoples of the United States
1057,July,Minnesota,Wright County,3.4,Silas Wright
1058,May,Texas,Medina County,4.3,Medina River
1059,September,Utah,Uintah County,6.7,Ute people
1060,March,Mississippi,Lincoln County,5.6,Abraham Lincoln
1061,March,North Carolina,Carteret County,6.3,George Carteret
1062,December,Kansas,Butler County,3.7,Richard Butler
1063,August,Illinois,Champaign County,5.4,Champaign County
1064,February,Texas,Franklin County,4.7,Benjamin Franklin
1065,October,Utah,Sevier County,3.8,Sevier River
1066,November,Minnesota,Pipestone County,2.4,catlinite
1067,March,Oklahoma,Haskell County,7.5,Charles N. Haskell
1068,January,Nebraska,Morrill County,3.5,Charles Henry Morrill
1069,September,Indiana,Gibson County,3.3,John Gibson
1070,May,Texas,Moore County,3.1,Alfred Moore
1071,August,Virginia,Martinsville City,9.2,Joseph Martin
1072,May,Indiana,Bartholomew County,3.6,Joseph Bartholomew
1073,December,North Carolina,Pasquotank County,7.1,
1074,July,Pennsylvania,Washington County,5.8,George Washington
1075,February,Mississippi,Walthall County,8.3,Edward C. Walthall
1076,November,North Dakota,Eddy County,3.2,
1077,November,Missouri,Lafayette County,3.5,"Gilbert du Motier, Marquis de Lafayette"
1078,March,Wisconsin,Trempealeau County,4.9,Trempealeau Mountain
1079,August,South Carolina,Clarendon County,7.7,
1080,July,Connecticut,Hartford County,6.1,Hertfordshire
1081,June,Colorado,Teller County,4.6,Henry M. Teller
1082,June,Kansas,Labette County,6.5,
1083,May,Indiana,Benton County,4.6,Thomas Hart Benton
1084,January,Pennsylvania,Warren County,5.8,Joseph Warren
1085,December,Virginia,Brunswick County,6.1,Duchy of Brunswick-Lüneburg
1086,October,Iowa,Jasper County,3.2,William Jasper
1087,January,Idaho,Lemhi County,10.2,Fort Lemhi
1088,July,Arkansas,Howard County,4.9,John Eager Howard
1089,October,Virginia,Alexandria City,3,
1090,August,Alabama,Etowah County,6.5,
1091,September,Wisconsin,Florence County,5.7,
1092,July,Virginia,Bristol City,5.7,
1093,February,Ohio,Noble County,7.7,Noah Noble
1094,October,Arkansas,Ouachita County,5.5,
1095,February,Minnesota,Mahnomen County,6.5,Ojibwe
1096,May,Washington,Grays Harbor County,9.2,Grays Harbor
1097,March,Nebraska,Hooker County,5.7,Joseph Hooker
1098,February,Indiana,Putnam County,6.1,
1099,July,Nebraska,Banner County,3.3,
1100,June,Idaho,Custer County,5.1,George Armstrong Custer
1101,March,Colorado,Ouray County,5.5,Chief Ouray
1102,September,Montana,Fallon County,2.2,
1103,June,New York,Nassau County,4.4,William III
1104,October,Illinois,Jo Daviess County,5.2,Joseph Hamilton Daveiss
1105,July,Colorado,Delta County,5.5,Delta
1106,February,Pennsylvania,Philadelphia County,7.3,Philadelphia
1107,March,New York,Lewis County,9.3,Meriwether Lewis
1108,August,Kansas,Decatur County,3.6,Stephen Decatur
1109,May,Indiana,Decatur County,4,Stephen Decatur
1110,September,Oklahoma,Pushmataha County,6.7,Pushmataha
1111,September,Idaho,Cassia County,3,Cassia Creek
1112,March,New York,Bronx County,8.3,Jonas Bronck
1113,December,New Mexico,Chaves County,6,José Francisco Chaves
1114,December,Minnesota,Washington County,2.9,George Washington
1115,August,Texas,Morris County,9.6,Lewis Morris
1116,June,Iowa,Sac County,3.3,Sauk people
1117,December,Vermont,Orleans County,5.5,Orléans
1118,April,Indiana,Randolph County,4.7,Edmund Randolph
1119,September,Oklahoma,Dewey County,3.2,
1120,June,Alabama,Lauderdale County,7.7,James Lauderdale
1121,November,Kansas,Scott County,2.5,Winfield Scott
1122,December,Iowa,Montgomery County,3.4,Richard Montgomery
1123,March,New Mexico,Eddy County,4.8,
1124,November,Indiana,Greene County,6.2,Nathanael Greene
1125,November,West Virginia,Calhoun County,12.2,John C. Calhoun
1126,January,Iowa,Hardin County,5.3,"Joseph Hardin, Sr."
1127,May,Idaho,Bear Lake County,3.8,Bear Lake
1128,May,Pennsylvania,Beaver County,6.3,North American Beaver
1129,February,Virginia,Chesapeake City,5,
1130,February,Pennsylvania,Clinton County,7.5,George Clinton
1131,July,North Dakota,Pierce County,3.2,Franklin Pierce
1132,October,Idaho,Bear Lake County,3.6,Bear Lake
1133,September,Arkansas,Montgomery County,6.4,Richard Montgomery
1134,October,Texas,Falls County,4.1,
1135,December,Texas,Franklin County,4.9,Benjamin Franklin
1136,June,Virginia,Henry County,6.7,Patrick Henry
1137,June,Tennessee,Dickson County,6,William Dickson
1138,December,North Carolina,Chowan County,6.7,Chowanoke
1139,September,Colorado,Garfield County,3.3,James A. Garfield
1140,February,Texas,Camp County,5.4,John Lafayette Camp
1141,December,Minnesota,Stearns County,3.5,Charles Thomas Stearns
1142,March,Mississippi,Sunflower County,10.9,
1143,May,Montana,Carter County,2.7,Thomas H. Carter
1144,August,North Carolina,Forsyth County,5.8,Benjamin Forsyth
1145,October,Kansas,Coffey County,5.3,
1146,November,South Dakota,Walworth County,4.7,Reuben H. Walworth
1147,January,Kansas,Comanche County,2.7,
1148,June,North Carolina,Lincoln County,5.9,Abraham Lincoln
1149,November,Virginia,Virginia Beach City,3.9,
1150,December,Missouri,Monroe County,4.4,James Monroe
1151,January,Virginia,Manassas Park City,4.8,
1152,February,Virginia,Culpeper County,5.1,"Thomas Colepeper, 2nd Baron Colepeper"
1153,July,South Dakota,Dewey County,16.4,
1154,January,Kentucky,Bracken County,8.3,William Bracken
1155,November,Maryland,Anne Arundel County,4.2,Anne Arundell
1156,September,North Carolina,Yancey County,5.2,Bartlett Yancey
1157,July,Tennessee,Jackson County,8.5,Andrew Jackson
1158,August,Missouri,Clinton County,4.9,George Clinton
1159,December,South Carolina,Greenwood County,5.3,Alfred B. Greenwood
1160,December,Kansas,Thomas County,2.5,
1161,March,North Carolina,Catawba County,5.4,Catawba people
1162,February,New York,Suffolk County,5.7,Suffolk
1163,October,Arkansas,Faulkner County,4.1,
1164,October,Ohio,Preble County,4.3,Edward Preble
1165,September,Mississippi,Jefferson Davis County,8,Jefferson Davis
1166,January,Texas,Real County,5.9,
1167,August,Pennsylvania,Warren County,4.8,Joseph Warren
1168,January,Arizona,Yuma County,19.3,Quechan people
1169,October,Oklahoma,Ellis County,3.9,Richard Ellis
1170,November,Texas,Brazos County,3.2,Brazos River
1171,June,Illinois,Union County,7.6,Union
1172,August,Illinois,Clay County,6.9,Henry Clay
1173,May,Nevada,Lincoln County,5.8,Abraham Lincoln
1174,July,Oklahoma,Okmulgee County,6.4,Okmulgee
1175,December,Kansas,Sedgwick County,4.1,John Sedgwick
1176,October,Nebraska,Thayer County,2.4,John Milton Thayer
1177,November,Montana,Fergus County,3.8,James Fergus
1178,June,North Dakota,Dunn County,2.4,Charles Dunn
1179,February,Texas,Austin County,4.1,Stephen F. Austin
1180,May,New York,Cortland County,5.5,Pierre Van Cortlandt
1181,January,South Carolina,McCormick County,8.9,Cyrus McCormick
1182,September,Virginia,Lynchburg City,5,
1183,May,Indiana,Switzerland County,4.9,Switzerland
1184,June,Texas,El Paso County,5.6,Ute Pass
1185,March,North Carolina,Randolph County,5.6,Edmund Randolph
1186,May,Ohio,Ashland County,4.8,Ashland
1187,August,Michigan,Gladwin County,6,Henry Gladwin
1188,July,Missouri,Polk County,6.2,James K. Polk
1189,February,Ohio,Greene County,4.8,Nathanael Greene
1190,July,Louisiana,Caldwell Parish,8.4,Caldwell
1191,August,Ohio,Madison County,3.5,James Madison
1192,July,Indiana,Dubois County,3.4,Toussaint Dubois
1193,May,Texas,Van Zandt County,4.5,Isaac Van Zandt
1194,September,Montana,Sanders County,6.7,Wilbur F. Sanders
1195,October,Pennsylvania,Somerset County,5.4,Somerset
1196,September,Indiana,Knox County,4.1,Henry Knox
1197,August,Pennsylvania,Mifflin County,5.5,Thomas Mifflin
1198,March,Nebraska,Sherman County,3,William Tecumseh Sherman
1199,January,Colorado,Baca County,2.5,
